name,state,state_code,type,degree_length,cost_type,in_state,AY2017,AY2016,AY2015,AY2014,AY2013,AY2012,AY2011,AY2010,AY2009
Shenandoah University,Virginia,VA,Private,4 Year,total,in,46200,45412,44780,44016,43598,42140,40990,39050,37150
Shenandoah University,Virginia,VA,Private,4 Year,total,out,46200,45412,44780,44016,43598,42140,40990,39050,37150
Shenandoah University,Virginia,VA,Private,4 Year,tuition,in,31920,31322,30760,30188,29934,28800,27940,26080,25450
Shepherd University,West Virginia,WV,Public,4 Year,total,in,21031,20727,20387,19750,19311,18463,16984,16179,15562
Shepherd University,West Virginia,WV,Public,4 Year,total,out,31572,31039,30185,29808,28895,27765,25848,24991,23902
Shepherd University,West Virginia,WV,Public,4 Year,tuition,in,7328,7170,6830,6570,6256,5834,5554,5234,5234
Sheridan College,Wyoming,WY,Public,2 Year,total,in,13846,13423,12356,13242,12892,12470,12416,11073,10770
Sheridan College,Wyoming,WY,Public,2 Year,total,out,18358,17695,16340,17226,16684,16070,15824,14337,14034
Sheridan College,Wyoming,WY,Public,2 Year,tuition,in,3120,3156,2952,2892,2792,2536,2440,2322,2322
Shippensburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,total,in,28200,27234,25504,24942,24046,21594,21070,19570,17256
Shippensburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,total,out,36300,35324,34558,33688,32514,29814,30608,28394,25692
Shippensburg University of Pennsylvania,Pennsylvania,PA,Public,4 Year,tuition,in,12086,11452,10052,9774,9448,9154,8856,8056,7444
Shorter University,Georgia,GA,Private,4 Year,total,in,34490,34490,33606,33228,33230,31840,30540,29400,28000
Shorter University,Georgia,GA,Private,4 Year,total,out,34490,34490,33606,33228,33230,31840,30540,29400,28000
Shorter University,Georgia,GA,Private,4 Year,tuition,in,21730,21730,20846,20250,19670,18770,17870,17070,16300
Siena College,New York,NY,Private,4 Year,total,in,53855,52236,50481,48809,47265,45452,43874,40220,37895
Siena College,New York,NY,Private,4 Year,total,out,53855,52236,50481,48809,47265,45452,43874,40220,37895
Siena College,New York,NY,Private,4 Year,tuition,in,35735,34611,33415,32293,31368,30200,29295,26510,25285
Siena Heights University,Michigan,MI,Private,4 Year,total,in,38902,37452,36016,34554,34014,32812,30766,29552,28606
Siena Heights University,Michigan,MI,Private,4 Year,total,out,38902,37452,36016,34554,34014,32812,30766,29552,28606
Siena Heights University,Michigan,MI,Private,4 Year,tuition,in,25932,24856,23750,22740,21890,21152,20554,19790,19210
Sierra College,California,CA,Public,2 Year,total,in,13862,13862,13862,13670,13390,12862,12494,12254,12254
Sierra College,California,CA,Public,2 Year,total,out,18934,18934,18902,18710,18430,17902,16950,16834,16670
Sierra College,California,CA,Public,2 Year,tuition,in,1142,1142,1142,1150,1150,1150,908,668,668
Sierra Nevada College,Nevada,NV,Private,4 Year,total,in,49003,47082,45660,47830,45759,44591,41300,39515,37521
Sierra Nevada College,Nevada,NV,Private,4 Year,total,out,49003,47082,45660,47830,45759,44591,41300,39515,37521
Sierra Nevada College,Nevada,NV,Private,4 Year,tuition,in,32639,31150,29994,29159,28483,27654,25370,24515,23258
Silver Lake College of the Holy Family,Wisconsin,WI,Private,4 Year,total,in,41766,41036,39256,37806,36020,34005,33040,32115,30460
Silver Lake College of the Holy Family,Wisconsin,WI,Private,4 Year,total,out,41766,41036,39256,37806,36020,34005,33040,32115,30460
Silver Lake College of the Holy Family,Wisconsin,WI,Private,4 Year,tuition,in,27360,26340,25320,24350,23180,22470,21820,21170,20560
Simmons College,Massachusetts,MA,Private,4 Year,total,in,58230,56920,55250,53796,52610,51320,50022,50120,48800
Simmons College,Massachusetts,MA,Private,4 Year,total,out,58230,56920,55250,53796,52610,51320,50022,50120,48800
Simmons College,Massachusetts,MA,Private,4 Year,tuition,in,39600,38590,37380,36230,35380,34350,33356,32230,31450
Simpson College,Iowa,IA,Private,4 Year,total,in,50180,48376,46684,44972,43350,40492,38986,38156,35994
Simpson College,Iowa,IA,Private,4 Year,total,out,50180,48376,46684,44972,43350,40492,38986,38156,35994
Simpson College,Iowa,IA,Private,4 Year,tuition,in,37663,35876,34175,32550,30999,29529,28123,26837,25733
Simpson University,California,CA,Private,4 Year,total,in,40785,38504,37610,36754,35324,34196,33124,32088,31460
Simpson University,California,CA,Private,4 Year,total,out,40785,38504,37610,36754,35324,34196,33124,32088,31460
Simpson University,California,CA,Private,4 Year,tuition,in,27700,25950,25200,24300,23300,22400,21600,21000,20400
Skagit Valley College,Washington,WA,Public,2 Year,total,in,18000,18000,18000,18600,18600,18000,16900,16500,16300
